Posicion,Piloto,Puntos_totales,Australian GP,Malaysian GP,Chinese GP,Bahrein GP,Spanish GP,Monaco GP,Canadian GP,European GP,British GP,German GP,Hungarian GP,Belgian GP,Italian GP,Singapore GP,Japanese GP,Korean GP,Indian GP,Abu Dhabi GP,USA GP,Brazilian GP
1,S. Vettel,281,18,0,10,25,8,12,12,0,15,10,12,18,0,25,25,25,25,15,18,8
2,F. Alonso,278,10,25,2,6,18,15,10,25,18,25,10,0,15,15,0,15,18,18,15,18
3,K. Räikkönen,207,6,10,0,18,15,2,4,18,10,15,18,15,10,8,8,10,6,25,8,1
4,L. Hamilton,190,15,15,15,4,4,10,25,0,4,0,25,0,25,0,10,1,12,0,25,0
5,J. Button,188,25,0,18,0,2,0,0,4,1,18,8,25,0,18,12,0,10,12,10,25
6,M. Webber,179,12,12,12,12,0,25,6,12,25,4,4,8,0,0,2,18,15,0,0,12
7,F. Massa,122,0,0,0,2,0,8,1,0,12,0,2,10,12,4,18,12,8,6,12,15
8,R. Grosjean,96,0,0,8,15,12,0,18,0,8,0,15,0,,6,0,6,2,0,6,0
9,N. Rosberg,93,0,0,25,10,6,18,8,8,0,1,1,0,6,10,0,0,0,0,0,0
10,S. Pérez,66,4,18,0,0,0,0,15,2,0,8,0,0,18,1,0,0,0,0,0,0
11,N. Hülkenberg,63,0,2,0,0,1,4,0,10,0,2,0,12,0,0,6,8,4,0,4,10
12,K. Kobayashi,60,8,0,1,0,10,0,2,0,0,12,0,0,2,0,15,0,0,8,0,2
13,M. Schumacher,49,0,1,0,1,0,0,0,15,6,6,0,6,8,0,0,0,0,0,0,6
14,P. di Resta,46,1,6,0,8,0,6,0,6,0,0,0,1,4,12,0,0,0,2,0,0
15,P. Maldonado,45,0,0,4,0,25,0,0,0,0,0,0,0,0,0,4,0,0,10,2,0
16,B. Senna,31,0,8,6,0,0,1,0,1,2,0,6,0,1,0,0,0,1,4,1,0
17,J. Vergne,16,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4
18,D. Ricciardo,10,2,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,0,1,0,0
19,C. Pic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,P. de la Rosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,J. d'Ambrosio,0,,,,,,,,,,,,0,,,,,,,,
22,H. Kovalainen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,V. Petrov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,T. Glock,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,N. Karthikeyan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
